shipment_id,transit_hours,door_opens,mean_temp,max_temp,min_temp,temp_std_c,temp_recovery_rate,rh_mean,rh_std,rh_max,package_type,product_volume_l,fill_ratio,carrier_id,origin_zone,dest_zone,leg_count,sensor_gap_hours,vibration_index,feature_x1,feature_x2,feature_x3,silent_failure,max_temp_c,delay_minutes,high_spoilage_risk,failure_category,predicted_spoilage_risk
SHP000016,1.31,4,3.551,3.947,3.394,0.353,0.3504,0.4015,0.0376,0.5021,1,10.65,0.5997,5,4,3,1,0.466,2.3027,0.1306,0.9896,0,0,3.551,3.394,0,Urban Traffic,0
SHP000017,8.52,14,1.794,3.577,0.764,2.013,0.6834,0.7424,0.1458,0.7709,0,11.81,0.7031,10,5,5,2,0.238,3.0737,0.779,1.7087,0,1,1.794,0.764,1,Refrigeration Failure,1
SHP000018,1.31,1,5.521,6.629,4.998,0.71,0.3953,0.4687,0.0536,0.4853,0,11.17,0.6912,8,4,0,3,0.681,3.0607,0.7571,-0.2107,0,0,5.521,4.998,0,Urban Traffic,0
SHP000019,4.17,16,4.578,9.125,4.319,2.365,0.5048,0.5248,0.0836,0.6121,0,13.0,0.8669,6,1,3,3,0.098,4.0074,1.0208,-0.0972,0,0,4.578,4.319,0,None,0
SHP000020,12.19,11,3.913,7.482,3.042,2.631,0.3221,0.5836,0.0655,0.8142,0,8.35,0.8784,9,1,2,2,0.959,2.9095,-0.4803,-0.1399,1,0,3.913,3.042,1,Hub Dwell Delay,1
SHP000021,4.2,4,5.865,7.478,5.269,1.112,0.3158,0.5583,0.0807,0.6056,0,13.68,0.6512,10,4,4,2,0.308,2.4273,2.0295,0.1155,0,0,5.865,5.269,0,Refrigeration Failure,0
SHP000022,3.0,4,2.029,3.609,1.5,0.626,0.457,0.4475,0.0235,0.6163,0,18.32,0.7078,4,0,5,2,0.884,1.5354,0.1308,-1.396,0,0,2.029,1.5,0,Urban Traffic,0
SHP000023,1.89,5,3.208,5.212,2.916,0.578,0.3493,0.4099,0.0559,0.465,0,5.69,0.4177,6,4,5,2,0.693,2.3167,-0.8098,-1.1363,0,0,3.208,2.916,0,Urban Traffic,0
SHP000024,6.42,9,5.27,7.542,4.322,1.403,0.348,0.5509,0.0577,0.5559,0,4.84,0.782,6,5,5,2,0.329,2.5091,0.5696,-1.3719,0,0,5.27,4.322,0,Refrigeration Failure,0
SHP000025,3.14,10,4.727,6.888,4.177,0.646,0.3987,0.493,0.0105,0.5141,0,4.8,0.8544,1,4,5,2,0.361,3.0671,-1.2181,-0.1801,1,0,4.727,4.177,0,Hub Dwell Delay,0
SHP000026,1.46,3,3.86,4.82,3.699,0.535,0.0157,0.551,0.0114,0.6889,0,8.65,0.8038,3,4,1,3,1.408,1.5444,0.7008,1.584,0,1,3.86,3.699,0,Hub Dwell Delay,0
SHP000027,3.93,6,4.235,5.422,2.482,1.065,0.5633,0.4046,0.0003,0.6653,0,10.28,0.7225,0,3,1,1,0.223,2.5333,0.1442,-0.3681,1,0,4.235,2.482,0,None,0
SHP000028,1.89,3,3.403,4.216,2.902,0.695,0.5151,0.3567,0.0241,0.5037,0,16.25,0.7659,8,5,0,2,0.253,2.6738,-0.9484,0.7474,0,0,3.403,2.902,0,Hub Dwell Delay,0
SHP000029,3.86,26,5.339,6.678,4.009,1.797,0.6617,0.5226,0.0729,0.6212,0,13.7,0.8154,9,3,1,2,0.026,0.9024,-0.4363,0.5492,1,0,5.339,4.009,0,Urban Traffic,0
SHP000030,3.76,14,3.346,3.36,0.368,1.432,0.5407,0.5597,0.0849,,1,9.06,0.7214,3,0,2,2,0.653,2.2898,-1.1475,-0.6035,0,0,3.346,0.368,0,Urban Traffic,0
SHP000031,1.42,2,3.902,4.603,3.518,0.475,0.3372,0.497,0.0397,0.5555,1,4.95,0.7884,8,4,2,1,0.967,0.4643,-0.2585,0.5098,0,0,3.902,3.518,0,None,0
SHP000032,7.85,15,7.102,10.489,4.942,1.396,0.3741,0.4693,0.0858,0.7603,2,7.98,0.8487,11,0,5,3,0.046,2.4719,1.1667,0.2719,0,1,7.102,4.942,1,None,1
SHP000033,5.15,21,4.006,10.072,2.488,1.195,0.687,0.796,0.0359,0.99,0,8.24,0.7278,10,5,5,2,0.227,2.1216,-2.2406,0.8376,0,0,4.006,2.488,0,Urban Traffic,0
SHP000034,8.03,13,5.538,5.663,3.442,3.017,0.5306,0.6088,0.0209,0.7838,1,11.76,0.6949,1,2,4,2,0.258,1.6528,-0.2026,1.5193,1,0,5.538,3.442,1,Hub Dwell Delay,0
SHP000035,2.02,4,4.454,4.637,4.349,0.352,0.4606,0.5218,0.0213,0.5285,1,9.81,0.3677,9,0,3,1,0.309,1.0234,-1.3115,0.1591,0,0,4.454,4.349,0,Hub Dwell Delay,0
SHP000036,1.09,2,4.243,4.79,3.981,0.737,0.3481,0.4981,0.0545,0.5317,0,13.19,1.0,9,5,1,2,0.263,0.0653,-0.8015,0.7777,0,0,4.243,3.981,0,Hub Dwell Delay,0
SHP000037,4.01,9,6.339,8.084,4.802,0.94,0.3385,0.6184,0.037,0.8097,1,9.57,0.7327,8,5,2,2,2.196,0.3662,0.0487,-0.5305,1,1,6.339,4.802,1,None,1
SHP000038,1.36,5,2.923,3.886,2.819,0.709,0.2852,0.4519,0.0327,0.4752,0,11.14,0.5675,2,1,2,2,2.102,2.5669,0.1204,0.4184,0,0,2.923,2.819,0,Urban Traffic,0
SHP000039,4.87,14,4.153,10.372,2.327,2.064,0.6912,0.5538,0.1244,0.6555,2,14.77,0.5965,8,3,3,2,0.377,2.3807,-0.256,-0.0091,0,0,4.153,2.327,0,None,0
SHP000040,1.64,4,3.148,4.465,2.374,0.969,0.3949,0.4526,0.041,0.6409,0,15.17,0.677,8,1,0,1,0.153,2.1524,-1.1041,0.2768,1,0,3.148,2.374,0,None,0
SHP000041,1.24,2,3.581,4.965,3.386,0.343,0.4854,0.4666,0.0427,0.6081,1,7.49,0.7796,5,3,0,1,0.875,1.1823,-0.1729,0.097,0,0,3.581,3.386,0,Refrigeration Failure,0
SHP000042,2.43,6,2.492,4.059,2.257,0.617,0.2821,0.5519,0.0889,0.6193,1,11.56,0.813,9,1,2,1,0.148,1.5857,-1.0649,0.2306,0,0,2.492,2.257,0,Hub Dwell Delay,0
SHP000043,1.81,6,2.35,3.1,1.98,1.156,0.4769,0.4098,0.0616,0.5753,0,5.46,0.871,10,4,3,1,1.379,0.9699,-1.2657,-0.3954,0,0,2.35,1.98,0,Urban Traffic,0
SHP000044,4.69,23,3.976,9.943,3.75,1.606,0.3347,0.4589,0.1471,0.5144,0,16.96,0.4946,2,4,5,2,2.557,2.8453,-0.3008,0.4605,1,1,3.976,3.75,0,Refrigeration Failure,0
SHP000045,1.58,2,4.872,6.004,4.799,0.435,0.3797,0.4102,0.0494,0.5005,0,12.8,0.7809,5,1,0,2,0.045,1.3517,1.2276,0.5644,0,0,4.872,4.799,0,None,0
SHP000046,1.41,5,3.263,4.024,3.05,0.5,0.3684,0.508,0.0496,0.6026,0,11.6,0.8036,8,2,1,2,0.175,1.8619,-1.0905,-0.0985,0,0,3.263,3.05,0,None,0
SHP000047,1.07,8,5.018,5.398,4.912,0.683,0.5729,0.4477,0.0232,0.5163,1,11.98,0.5407,6,1,0,1,0.032,1.1937,-1.345,0.5816,1,0,5.018,4.912,0,Urban Traffic,0
SHP000048,14.12,11,2.881,5.82,2.004,2.315,0.3438,0.6925,0.1211,0.7639,2,18.6,0.4504,9,1,2,3,0.704,2.2763,0.3342,-0.6314,0,1,2.881,2.004,1,Urban Traffic,1
SHP000049,2.34,3,4.272,4.357,4.158,1.028,0.503,0.3863,0.0718,0.4129,0,14.98,0.7707,9,3,3,1,0.017,0.6247,-0.1219,-0.6644,0,0,4.272,4.158,0,Hub Dwell Delay,0
SHP000050,3.1,9,6.188,7.78,4.82,1.025,0.4961,0.5157,0.0643,0.7463,2,14.84,0.7414,9,2,5,1,0.938,2.6404,0.7676,-0.6682,0,0,6.188,4.82,1,None,1
SHP000051,2.31,4,2.992,3.384,2.878,1.175,0.6273,0.3593,0.0554,0.3732,0,16.27,0.6497,9,2,1,2,0.187,3.4395,-1.1342,0.1641,0,0,2.992,2.878,0,None,0
SHP000052,10.45,15,4.068,4.519,3.911,1.078,0.3417,0.7412,0.09,0.99,1,5.56,0.7435,11,5,2,1,0.412,1.6956,0.4632,-0.4338,0,1,4.068,3.911,1,Urban Traffic,1
SHP000053,10.81,16,2.8,4.148,2.535,1.478,0.6532,0.5536,0.1536,0.6666,1,14.92,0.9312,2,1,2,3,0.034,2.8141,-0.3417,-0.3234,0,1,2.8,2.535,1,Urban Traffic,1
SHP000054,3.88,15,7.715,8.951,5.447,1.792,0.7101,0.5434,0.0813,0.6994,0,14.3,0.6347,4,3,4,1,1.131,2.3225,0.6805,0.5719,0,1,7.715,5.447,1,Refrigeration Failure,1
SHP000055,5.12,12,2.737,4.235,1.12,1.885,0.3871,0.6866,0.099,0.6984,1,10.15,0.5631,5,2,0,1,0.572,2.9818,0.6109,0.0799,0,1,2.737,1.12,0,Urban Traffic,0
SHP000056,0.9,2,5.052,5.243,5.038,0.453,0.4849,0.4181,0.0484,0.465,0,12.41,0.6778,2,3,5,3,0.072,2.8486,-0.3734,1.6529,0,0,5.052,5.038,0,Refrigeration Failure,0
SHP000057,1.54,2,3.779,4.798,3.656,0.613,0.4728,0.5105,0.0411,0.5179,0,10.57,0.6015,9,4,5,3,0.674,2.0827,-0.3314,-0.2831,0,0,3.779,3.656,0,Hub Dwell Delay,0
SHP000058,1.74,11,2.536,2.728,2.091,0.462,0.4839,0.3264,0.0762,0.3294,1,11.73,0.8445,3,3,2,1,0.166,2.5495,-0.5048,-0.647,1,0,2.536,2.091,0,Refrigeration Failure,0
SHP000059,2.31,0,3.333,3.504,2.579,0.24,0.3825,0.4807,0.0601,0.4972,0,15.22,0.6706,4,5,2,1,1.386,0.5788,-0.7902,0.8717,0,0,3.333,2.579,0,None,0
SHP000060,3.1,15,5.35,8.625,4.402,1.334,0.4502,0.5192,0.1151,0.6173,0,18.01,0.6647,6,0,2,3,1.515,2.7464,-0.0793,1.0076,0,0,5.35,4.402,0,Hub Dwell Delay,0
SHP000061,12.75,12,6.203,8.846,3.43,2.372,0.6181,0.339,0.0932,0.5506,0,16.29,0.7277,10,0,3,2,0.311,1.6616,0.9314,-1.2066,0,0,6.203,3.43,1,Hub Dwell Delay,1
SHP000062,3.07,8,3.685,4.959,2.584,0.847,0.4544,0.3153,0.0763,0.3178,2,13.08,0.5721,9,5,4,1,0.766,2.1942,1.1929,-0.4841,0,0,3.685,2.584,0,Urban Traffic,0
SHP000063,1.52,2,2.843,3.906,2.587,0.465,0.2684,0.5059,0.0336,0.6049,0,11.49,0.5304,0,2,2,1,0.465,1.7475,-0.3401,-0.1203,1,0,2.843,2.587,0,None,0
SHP000064,9.34,14,1.629,2.322,1.378,3.258,0.5279,0.5772,0.0733,0.8533,2,6.81,0.8103,9,0,2,3,2.248,1.626,1.7151,1.6313,0,1,1.629,1.378,1,Refrigeration Failure,1
SHP000065,11.88,14,4.286,5.461,3.276,2.573,0.5852,0.6012,0.1067,0.6704,0,13.11,0.8463,1,4,3,3,0.04,0.9937,0.6724,-0.0908,0,1,4.286,3.276,1,Urban Traffic,1
SHP000066,9.53,12,6.03,6.448,4.912,1.535,0.6699,0.5857,0.1394,0.8472,0,3.52,0.8003,3,0,5,2,0.016,1.4606,0.9946,0.7425,0,0,6.03,4.912,1,Hub Dwell Delay,1
SHP000067,5.51,16,3.602,7.771,3.25,0.755,0.615,0.654,0.0826,0.6794,0,9.82,0.9499,7,0,5,2,0.387,2.1507,0.0036,-1.7715,0,0,3.602,3.25,0,Hub Dwell Delay,0
SHP000068,1.68,8,3.252,5.222,3.023,1.311,0.376,0.48,0.0392,0.5101,0,13.14,0.528,0,1,2,2,2.322,1.5429,-0.6936,0.0688,0,0,3.252,3.023,0,Urban Traffic,0
SHP000069,4.68,15,3.599,5.11,1.101,1.346,0.4528,0.5004,0.085,0.8739,0,6.67,0.3223,6,1,5,2,1.445,2.2713,0.285,1.3715,1,0,3.599,1.101,0,Refrigeration Failure,0
SHP000070,5.47,11,6.039,9.376,4.923,1.92,0.5722,0.4838,0.1122,0.7721,2,9.8,0.8812,2,4,4,3,0.252,1.6754,-0.8125,-1.1476,1,0,6.039,4.923,1,Hub Dwell Delay,1
SHP000071,3.56,17,3.411,5.235,2.229,1.666,0.6574,0.6123,0.0828,0.931,2,10.96,0.743,10,2,4,1,1.051,1.4739,-0.8061,0.6468,0,0,3.411,2.229,0,Refrigeration Failure,0
SHP000072,2.0,2,3.688,4.033,3.384,1.245,0.6259,0.2886,0.0185,0.3394,0,9.14,0.6297,2,3,4,2,0.526,1.1314,0.639,-2.0312,0,0,3.688,3.384,0,Hub Dwell Delay,0
SHP000073,3.18,17,6.577,7.062,6.511,1.283,0.4765,0.534,0.1003,0.5554,2,13.37,0.8661,11,3,5,2,0.057,3.2761,-1.1394,0.2059,0,1,6.577,6.511,1,Urban Traffic,1
SHP000074,2.14,5,3.409,5.37,3.277,0.693,0.4264,0.3175,0.0792,0.3916,0,9.7,0.7042,10,1,1,3,0.102,0.2218,0.453,0.4262,0,0,3.409,3.277,0,Urban Traffic,0
SHP000075,2.52,2,2.622,3.137,2.302,0.755,0.3819,0.2601,0.0484,0.4178,1,9.84,0.5367,2,2,5,1,0.521,0.456,-2.0484,-0.2386,0,0,2.622,2.302,0,Hub Dwell Delay,0
SHP000076,1.45,3,2.026,3.219,1.478,0.968,0.3025,0.439,0.061,0.5442,1,6.7,0.5547,0,2,4,3,0.223,0.3654,0.0728,0.1896,0,1,2.026,1.478,0,Urban Traffic,0
SHP000077,2.52,5,1.503,3.393,1.323,0.975,0.4981,0.3724,0.0738,0.4536,0,9.71,0.6643,10,4,4,2,0.076,2.0322,-0.0458,0.8806,0,0,1.503,1.323,0,Urban Traffic,0
SHP000078,7.88,12,4.093,7.036,1.262,2.664,0.2968,0.8682,0.2047,0.98,0,21.52,0.6074,2,1,3,1,0.877,2.3393,0.6848,0.5225,0,1,4.093,1.262,0,Refrigeration Failure,0
SHP000079,1.39,4,3.796,4.787,3.691,0.26,0.5513,0.4754,0.022,0.5192,0,13.78,0.7007,5,1,4,1,0.33,1.7326,-0.664,0.4559,0,0,3.796,3.691,0,Hub Dwell Delay,0
SHP000080,3.6,17,5.432,6.625,4.455,1.195,0.6223,0.5568,0.0251,0.6475,0,14.96,0.9499,3,4,5,1,0.484,0.898,-0.241,0.9176,0,0,5.432,4.455,0,Urban Traffic,0
SHP000081,4.08,21,6.463,8.849,6.363,1.68,0.3497,0.5918,0.0522,0.7397,0,12.45,1.0,6,4,3,1,0.403,1.5691,-1.1973,0.7269,0,0,6.463,6.363,1,Refrigeration Failure,1
SHP000082,2.13,10,2.955,3.886,2.259,0.444,0.4628,0.3222,0.0696,0.4367,0,12.7,0.7943,9,0,2,1,0.258,0.2404,-1.9701,-0.4332,0,0,2.955,2.259,0,Refrigeration Failure,0
SHP000083,3.19,24,5.978,9.788,4.272,1.113,0.502,0.5474,0.1806,0.6159,2,17.46,0.7519,6,3,4,3,1.346,2.275,0.5734,-0.8121,0,1,5.978,4.272,0,Hub Dwell Delay,0
SHP000084,0.88,2,4.392,4.837,3.643,0.536,0.3085,0.4931,0.0523,0.6058,1,10.25,0.8086,9,5,2,1,1.216,1.3447,0.075,-0.5097,0,0,4.392,3.643,0,Hub Dwell Delay,0
SHP000085,3.07,8,5.03,5.352,4.191,2.061,0.4485,0.5607,0.0613,0.6738,0,9.83,0.9914,4,1,2,3,0.143,3.3085,-0.9681,0.0021,0,0,5.03,4.191,0,Urban Traffic,0
SHP000086,2.64,3,2.962,4.883,1.973,0.848,0.5057,0.4199,0.003,0.5011,0,14.74,0.6415,5,5,0,1,2.363,1.7568,-0.4754,1.6668,0,0,2.962,1.973,0,Urban Traffic,0
SHP000087,4.56,6,3.363,5.072,2.7,1.44,0.4838,0.453,0.0377,0.4891,2,3.05,0.7181,3,0,5,2,0.204,2.6013,-1.8956,-0.9364,0,0,3.363,2.7,0,Urban Traffic,0
SHP000088,2.24,4,3.466,4.247,1.884,0.726,0.6708,0.3802,0.0309,0.4913,0,17.43,0.6315,3,5,0,2,1.617,2.2844,2.1415,-0.404,0,0,3.466,1.884,0,Urban Traffic,0
SHP000089,2.56,9,2.597,3.994,1.477,0.803,0.263,0.397,0.0279,0.4657,0,7.42,0.6664,4,0,5,1,0.23,0.7471,-1.898,0.2773,0,0,2.597,1.477,0,Hub Dwell Delay,0
SHP000090,4.47,10,3.723,4.166,3.338,0.786,0.4682,0.419,0.0483,0.4907,2,12.55,0.6336,4,1,5,1,0.074,2.0695,-0.7389,1.881,0,0,3.723,3.338,0,Refrigeration Failure,0
SHP000091,1.41,12,7.164,10.039,5.111,1.145,0.4283,0.4161,0.1448,0.4343,1,9.1,0.7074,5,5,2,1,0.284,3.0029,-0.1328,-0.8521,0,1,7.164,5.111,1,Urban Traffic,1
SHP000092,11.54,11,5.712,7.336,4.229,1.627,0.5426,0.6501,0.0966,0.7167,0,8.52,0.6696,5,4,5,2,0.649,1.6701,-0.3795,-0.0572,1,0,5.712,4.229,1,Urban Traffic,1
SHP000093,4.76,5,4.244,4.868,2.849,0.965,0.2738,0.5167,0.0505,0.5495,1,13.55,1.0,11,3,2,3,0.989,3.6942,-1.5785,-0.6434,1,0,4.244,2.849,0,None,0
SHP000094,2.82,6,2.129,3.675,1.552,1.121,0.6611,0.3036,0.0274,0.3285,0,19.35,0.7572,6,4,0,1,0.559,2.0142,-0.0563,0.2888,0,0,2.129,1.552,0,None,0
SHP000095,1.42,6,1.4,2.44,1.198,0.955,0.3442,0.4341,0.067,0.4937,0,16.88,0.841,9,1,3,2,0.234,2.7607,0.0839,1.4373,0,0,1.4,1.198,0,Urban Traffic,0
SHP000096,1.77,5,4.681,5.264,4.435,0.346,0.2539,0.5398,0.0368,0.6285,1,12.83,0.8429,5,3,3,2,0.908,2.6549,-0.5769,-0.3291,0,0,4.681,4.435,0,None,0
SHP000097,1.1,4,4.731,5.643,4.221,0.323,0.261,0.4758,0.0504,0.4822,1,14.12,0.6685,5,1,4,2,1.669,2.5758,0.408,0.4145,0,0,4.731,4.221,0,Refrigeration Failure,0
SHP000098,2.23,4,2.677,3.987,1.838,1.028,0.3746,0.357,0.0392,0.394,1,13.86,0.6929,9,4,0,2,0.435,3.1389,-0.157,2.7673,1,0,2.677,1.838,0,Refrigeration Failure,0
SHP000099,3.07,7,2.435,4.49,2.409,0.832,0.4848,0.4096,0.0622,0.5165,2,12.33,0.7705,7,1,2,2,0.349,2.6779,-1.1856,1.9904,0,0,2.435,2.409,0,Hub Dwell Delay,0
SHP000100,2.94,6,5.711,7.254,5.61,1.552,0.3877,0.5391,0.1084,0.6494,0,11.23,0.3785,6,5,4,1,1.095,2.1746,-0.4461,0.2147,1,0,5.711,5.61,0,Urban Traffic,0
SHP000101,3.87,5,4.779,5.252,4.526,0.52,0.3929,0.4169,0.055,0.5339,1,18.58,0.8338,10,4,2,1,1.48,2.2099,-0.0577,0.1551,0,0,4.779,4.526,0,None,0
SHP000102,2.56,15,4.775,9.095,3.406,0.72,0.4575,0.3524,0.0771,0.7668,0,16.14,0.8703,7,0,1,2,1.25,2.4128,1.4287,0.1515,1,0,4.775,3.406,0,Urban Traffic,0
SHP000103,8.48,10,4.724,4.785,2.419,2.03,0.3896,0.442,0.1363,0.4595,0,15.8,0.6508,6,0,2,1,0.199,0.3479,-0.5063,1.9065,1,1,4.724,2.419,1,Hub Dwell Delay,1
SHP000104,4.3,30,5.361,6.325,5.314,1.869,0.8278,0.6791,0.0882,0.99,0,16.07,0.6703,10,1,3,2,1.933,0.185,-0.1416,-1.0962,0,0,5.361,5.314,0,Hub Dwell Delay,0
SHP000105,2.03,5,2.343,2.646,1.794,0.764,0.2506,0.342,0.0196,0.5027,2,13.75,0.8184,11,0,0,1,1.523,1.5522,0.0117,0.2189,0,0,2.343,1.794,0,None,0
SHP000106,1.3,2,5.589,6.449,5.506,0.611,0.4457,0.5329,0.014,0.6331,1,6.52,0.896,11,3,0,1,0.981,2.3251,2.0939,2.2388,0,0,5.589,5.506,0,Hub Dwell Delay,0
SHP000107,3.25,17,8.4,9.689,7.961,1.678,0.4822,0.5051,0.0773,0.702,0,15.61,0.9262,5,0,5,2,0.348,1.7418,0.0402,-1.3875,1,1,8.4,7.961,1,Refrigeration Failure,1
SHP000108,1.38,4,3.933,4.332,3.497,0.325,0.498,0.4885,0.0149,0.51,2,12.71,0.7208,5,3,1,1,0.245,1.5294,1.6009,0.8797,0,0,3.933,3.497,0,Hub Dwell Delay,0
SHP000109,2.16,9,3.704,4.57,2.624,1.126,0.7611,0.3723,0.0814,0.5027,2,12.36,0.7863,1,5,1,2,0.22,0.4196,0.1977,0.2354,0,0,3.704,2.624,0,Urban Traffic,0
SHP000110,6.07,9,2.337,2.418,0.408,0.602,0.6012,0.613,0.103,0.7779,0,12.21,0.6042,1,3,0,2,0.179,2.0097,1.6246,-0.6647,0,0,2.337,0.408,0,Hub Dwell Delay,0
SHP000111,2.3,1,2.129,3.709,1.737,0.807,0.4101,0.447,0.0464,0.5117,0,10.29,0.4105,0,0,5,3,0.4,2.938,0.0824,-1.4083,1,0,2.129,1.737,0,None,0
SHP000112,7.74,15,4.892,6.863,3.161,1.6,0.3957,0.5772,0.1363,0.7834,2,7.06,0.6722,7,5,3,1,0.854,2.0512,0.3402,0.6964,1,1,4.892,3.161,0,Hub Dwell Delay,0
SHP000113,1.25,1,3.902,4.061,3.079,0.362,0.2443,0.53,0.0374,0.5906,2,3.42,0.6328,8,1,3,1,1.701,0.0891,-1.0807,0.4658,0,0,3.902,3.079,0,None,0
SHP000114,1.64,2,3.975,4.306,3.588,0.962,0.2067,0.5094,0.0316,0.5227,2,8.82,0.7068,1,3,2,3,2.989,2.4336,1.2755,0.4322,0,0,3.975,3.588,0,Urban Traffic,0
SHP000115,1.3,6,3.782,4.684,3.117,0.765,0.3138,0.4742,0.0228,0.503,0,6.37,0.8394,3,5,5,1,0.228,1.3253,0.9742,0.3807,1,1,3.782,3.117,0,Hub Dwell Delay,0
SHP000116,8.65,12,9.099,9.422,8.584,1.828,0.4679,0.4857,0.0594,0.5179,0,11.82,0.6091,5,3,4,1,1.64,2.7364,0.8337,-1.2646,0,1,9.099,8.584,1,None,1
SHP000117,1.9,7,2.22,5.143,1.912,0.748,0.4739,0.3634,0.0397,0.4252,1,13.93,0.6928,10,3,3,2,0.036,1.4211,-1.3885,1.0604,0,0,2.22,1.912,0,Refrigeration Failure,0
SHP000118,3.86,19,6.501,6.635,5.756,2.587,0.7418,0.5485,0.1184,0.5717,0,13.85,0.7379,11,4,4,1,0.69,1.8103,-0.9988,-0.8708,0,0,6.501,5.756,1,Refrigeration Failure,1
SHP000119,1.65,4,4.202,4.709,3.712,0.704,0.2559,0.5015,0.0489,0.5683,0,9.94,0.9889,4,5,0,2,0.051,0.4649,-0.833,-2.4896,0,0,4.202,3.712,0,Refrigeration Failure,0
SHP000120,0.98,2,4.232,6.547,3.536,0.622,0.3981,0.4189,0.037,0.4629,0,9.35,0.5905,8,2,4,2,0.945,3.0367,-1.9737,-0.352,0,0,4.232,3.536,0,Hub Dwell Delay,0
SHP000121,3.77,7,4.037,5.111,2.568,1.259,0.0701,0.4917,0.0903,0.6015,1,13.8,0.9945,0,1,2,3,0.22,1.4721,0.9804,0.1859,0,0,4.037,2.568,0,Urban Traffic,0
SHP000122,7.67,15,9.867,11.724,9.853,1.345,0.5322,0.6098,0.159,0.7591,2,12.24,0.7197,0,4,1,2,1.058,2.9459,-0.3771,-0.0859,0,1,9.867,9.853,1,Urban Traffic,1
